,tg_ecotypeid,name,CS_number,country,latitude,longitude,collector,seq_by,Soil Mapping Unit,Unnamed: 9,MU.GLOBAL,MU.SOURCE1,MU.SOURCE2,ISSOIL,SHARE,SEQ,SU.SYM74,SU.CODE74,SU.SYM85,SU.CODE85,SU.SYM90,SU.CODE90,T.TEXTURE,DRAINAGE,REF.DEPTH,AWC.CLASS,PHASE1,PHASE2,ROOTS,IL,SWR,ADD.PROP,T.GRAVEL,T.SAND,T.SILT,T.CLAY,T.USDA.TEX.CLASS,T.REF.BULK.DENSITY,T.OC,T.PH.H2O,T.CEC.CLAY,T.CEC.SOIL,T.BS,T.TEB,T.CACO3,T.CASO4,T.ESP,T.ECE,S.GRAVEL,S.SAND,S.SILT,S.CLAY,S.USDA.TEX.CLASS,S.REF.BULK.DENSITY,S.OC,S.PH.H2O,S.CEC.CLAY,S.CEC.SOIL,S.BS,S.TEB,S.CACO3,S.CASO4,S.ESP,S.ECE,T.BULK.DENSITY,S.BULK.DENSITY
2,9606.0,Aitba-1,CS76649,MAR,31.48,-7.45,0,Monsanto,1947,Leptosols,8164.0,71159,70052.0,1.0,40.0,1.0,,,Gx,90.0,GLi,17.0,2.0,2.0,100.0,1.0,7.0,,1.0,1.0,2.0,2.0,4.0,37.0,46.0,17.0,9.0,1.43,3.14,6.3,104.0,37.0,82.0,8.8,0.0,0.0,0.0,0.1,5.0,33.0,46.0,21.0,9.0,1.39,0.8,6.7,87.0,15.0,86.0,10.0,0.0,0.0,2.0,0.1,1.44,1.54
3,6989.0,Alst-1,CS76432,UK,54.8,-2.4333,Maarten Koornneef,Salk,10742,Gleysols,12077.0,AO166,,1.0,80.0,1.0,,,,,ARh,39.0,1.0,6.0,100.0,3.0,,,,,,0.0,0.0,93.0,0.0,7.0,13.0,1.66,0.9,4.9,19.0,4.0,14.0,0.6,0.0,0.0,2.0,0.0,0.0,93.0,1.0,6.0,13.0,1.68,0.37,4.8,25.0,3.0,17.0,0.5,0.0,0.0,2.0,0.0,1.5,1.53
4,9758.0,Altai-5,CS76433,CHN,47.75,88.4,0,Salk,11233,Calcisols,12233.0,AO92,,1.0,40.0,1.0,,,,,FRx,73.0,2.0,4.0,100.0,1.0,,,,,,0.0,6.0,76.0,2.0,22.0,10.0,1.46,0.77,5.5,5.0,4.0,21.0,0.8,0.0,0.0,1.0,0.0,5.0,48.0,2.0,50.0,8.0,1.28,0.15,5.6,6.0,3.0,17.0,0.6,0.0,0.0,2.0,0.0,1.36,1.38
5,9759.0,Anz-0,CS76439,IRN,37.47,49.47,0,Salk,6997,Water Bodies,10074.0,460048,4600480.0,1.0,52.0,1.0,,,Po,169.0,PZh,149.0,2.0,4.0,100.0,5.0,1.0,25.0,3.0,1.0,1.0,0.0,15.0,50.0,40.0,10.0,9.0,1.53,5.27,4.5,89.0,28.0,11.0,5.6,0.0,0.0,1.0,0.1,15.0,55.0,35.0,10.0,11.0,1.54,0.81,5.0,55.0,8.0,13.0,0.8,0.0,0.0,0.0,0.1,1.41,1.44
18,7058.0,Bur-0,CS76734,IRL,53.08,-9.07555556,Albert Kranz,Mott,10331,Rock Outcrop,11745.0,56322,,1.0,100.0,1.0,,,,,CMi,70.0,2.0,4.0,100.0,5.0,18.0,,,,,2.0,17.0,31.0,49.0,20.0,9.0,1.39,2.02,5.1,41.0,13.0,77.0,9.1,0.0,0.0,3.0,0.1,32.0,37.0,44.0,19.0,9.0,1.41,0.84,5.5,39.0,10.0,84.0,22.1,0.0,0.0,1.0,0.1,1.39,1.66
19,9661.0,Cimin-1,CS76771,ITA,39.58,16.21,0,Monsanto,9833,Cambisols,11220.0,20224,,1.0,100.0,1.0,,,,,ARh,39.0,1.0,6.0,100.0,3.0,22.0,,,,,0.0,4.0,90.0,5.0,5.0,13.0,1.71,0.4,6.2,35.0,3.0,93.0,3.3,0.0,0.0,3.0,0.1,4.0,90.0,5.0,5.0,13.0,1.71,0.21,6.1,39.0,2.0,100.0,2.6,0.0,0.0,3.0,0.1,1.49,1.52
20,7077.0,Co-1,CS76468,POR,40.12,-8.25,Albert Kranz,Salk,10296,Cambisols,11695.0,52408,,1.0,100.0,1.0,,,,,ATc,48.0,2.0,4.0,100.0,1.0,19.0,,,,,0.0,10.0,29.0,50.0,21.0,7.0,1.38,1.12,7.8,34.0,11.0,100.0,24.1,9.3,0.0,1.0,0.3,10.0,34.0,45.0,21.0,9.0,1.39,0.82,7.9,41.0,13.0,100.0,32.9,9.4,0.0,1.0,0.3,1.41,1.5
22,7067.0,Ct-1,CS76786,ITA,37.3,15.0,Albert Kranz,Mott,9823,Regosols,11210.0,20117,,1.0,100.0,1.0,,,,,CMc,65.0,2.0,4.0,100.0,5.0,18.0,,,,,0.0,6.0,36.0,43.0,21.0,9.0,1.39,0.65,8.0,52.0,16.0,100.0,24.3,7.0,0.0,1.0,0.4,10.0,34.0,43.0,23.0,9.0,1.38,0.43,8.1,54.0,16.0,100.0,28.7,8.7,0.4,1.0,0.3,1.41,1.45
26,6913.0,Eden-2,CS76827,SWE,62.877,18.177,Magnus Nordborg,GMI,10075,Podzols,11474.0,42117,,1.0,100.0,1.0,,,,,FLc,3.0,1.0,2.0,100.0,1.0,,,,,,0.0,10.0,79.0,15.0,6.0,12.0,1.66,0.41,8.3,109.0,6.0,100.0,11.0,9.1,0.0,4.0,0.4,10.0,79.0,15.0,6.0,12.0,1.66,0.17,8.3,137.0,6.0,94.0,13.9,9.9,0.0,4.0,0.4,1.4,1.5
30,9762.0,Etna-2,CS76487,ITA,37.69,14.98,0,Salk,9822,Regosols,11209.0,20116,,1.0,100.0,1.0,,,,,CMc,65.0,2.0,4.0,100.0,1.0,,,,,,0.0,6.0,36.0,43.0,21.0,9.0,1.39,0.65,8.0,52.0,16.0,100.0,24.3,7.0,0.0,1.0,0.4,10.0,34.0,43.0,23.0,9.0,1.38,0.43,8.1,54.0,16.0,100.0,28.7,8.7,0.4,1.0,0.3,1.41,1.45
32,6919.0,Ga-0,CS76490,GER,50.3,8.0,Albert Kranz,Salk,10230,Cambisols,11629.0,51202,,1.0,100.0,1.0,,,,,ATc,48.0,2.0,3.0,100.0,1.0,13.0,,,,,0.0,10.0,29.0,50.0,21.0,7.0,1.38,1.12,7.8,34.0,11.0,100.0,24.1,9.3,0.0,1.0,0.3,10.0,34.0,45.0,21.0,9.0,1.39,0.82,7.9,41.0,13.0,100.0,32.9,9.4,0.0,1.0,0.3,1.41,1.5
33,7158.0,Gr-5,CS76885,AUT,47.0,15.5,Albert Kranz,Monsanto,10002,Luvisols,11401.0,37304,,1.0,100.0,1.0,,,,,RGc,157.0,2.0,4.0,100.0,1.0,20.0,,,,,0.0,14.0,44.0,35.0,21.0,9.0,1.41,0.75,8.0,45.0,17.0,100.0,26.8,15.0,0.0,2.0,0.2,18.0,40.0,35.0,25.0,9.0,1.37,0.47,8.1,52.0,15.0,100.0,36.5,15.0,0.0,2.0,0.3,1.37,1.5
34,7164.0,Hau-0,CS76915,DEN,55.675,12.5686,Albert Kranz,Salk,10017,Luvisols,11416.0,38213,,1.0,100.0,1.0,,,,,PHc,133.0,2.0,4.0,100.0,1.0,16.0,,,,,0.0,3.0,35.0,43.0,22.0,9.0,1.38,1.37,7.9,67.0,17.0,100.0,25.8,3.4,0.0,1.0,0.2,5.0,35.0,44.0,21.0,9.0,1.39,0.48,8.2,71.0,14.0,100.0,22.2,11.4,0.0,2.0,0.1,1.46,1.44
35,9402.0,Hel-3,CS76918,SWE,57.8765,14.8549,Alison Anastasio,GMI,10052,Regosols,11451.0,40205,,1.0,100.0,1.0,,,,,CMc,65.0,2.0,4.0,100.0,1.0,,,,,,0.0,6.0,36.0,43.0,21.0,9.0,1.39,0.65,8.0,52.0,16.0,100.0,24.3,7.0,0.0,1.0,0.4,10.0,34.0,43.0,23.0,9.0,1.38,0.43,8.1,54.0,16.0,100.0,28.7,8.7,0.4,1.0,0.3,1.41,1.45
37,9518.0,IP-Alm-0,CS76660,ESP,39.88,-0.36,Carlos Alonso-Blanco,Monsanto,9730,Regosols,11117.0,17101,,1.0,100.0,1.0,,,,,GRh,79.0,2.0,4.0,100.0,1.0,,,,,,0.0,10.0,25.0,54.0,21.0,7.0,1.37,1.6,6.6,71.0,21.0,99.0,14.0,1.6,0.0,2.0,0.1,10.0,23.0,49.0,28.0,5.0,1.33,0.4,7.0,64.0,20.0,100.0,15.3,3.5,0.0,2.0,0.1,1.31,1.49
38,9522.0,IP-Bea-0,CS76695,ESP,36.52,-5.27,Carlos Alonso-Blanco,Monsanto,9731,Cambisols,11118.0,17122,,1.0,100.0,1.0,,,,,ARb,40.0,2.0,4.0,100.0,1.0,,,,,,0.0,10.0,66.0,10.0,24.0,10.0,1.43,0.43,6.7,47.0,6.0,99.0,14.0,0.0,0.0,2.0,0.1,10.0,86.0,7.0,7.0,12.0,1.65,0.24,6.2,47.0,4.0,100.0,15.3,0.0,0.0,0.0,0.1,1.4,1.48
39,9827.0,IP-Bos-0,CS76719,ESP,42.78,0.69,Xavier Picó,Monsanto,9739,Cambisols,11126.0,18123,,1.0,100.0,1.0,,,,,CHh,52.0,2.0,4.0,100.0,1.0,,,,,,0.0,4.0,23.0,54.0,23.0,7.0,1.35,2.09,6.9,67.0,23.0,100.0,18.6,0.4,0.0,1.0,0.1,17.0,26.0,52.0,22.0,7.0,1.37,0.89,7.4,71.0,17.0,100.0,17.1,5.4,0.0,2.0,0.1,1.22,1.35
40,9837.0,IP-Con-0,CS76780,ESP,37.94,-5.6,Xavier Picó,Monsanto,9714,Luvisols,11101.0,14718,,1.0,100.0,1.0,,,,,CMc,65.0,2.0,4.0,100.0,1.0,,,,,,0.0,6.0,36.0,43.0,21.0,9.0,1.39,0.65,8.0,52.0,16.0,100.0,24.3,7.0,0.0,1.0,0.4,10.0,34.0,43.0,23.0,9.0,1.38,0.43,8.1,54.0,16.0,100.0,28.7,8.7,0.4,1.0,0.3,1.41,1.45
41,9841.0,IP-Ees-0,CS76836,ESP,40.59,-4.15,Carlos Alonso-Blanco,Monsanto,9696,Regosols,11083.0,14504,,1.0,100.0,1.0,,,,,ATc,48.0,2.0,4.0,100.0,1.0,,,,,,0.0,10.0,29.0,50.0,21.0,7.0,1.38,1.12,7.8,34.0,11.0,100.0,24.1,9.3,0.0,1.0,0.3,10.0,34.0,45.0,21.0,9.0,1.39,0.82,7.9,41.0,13.0,100.0,32.9,9.4,0.0,1.0,0.3,1.41,1.5
42,9547.0,IP-Hor-0,CS76930,ESP,41.67,2.62,Xavier Picó,Monsanto,9732,Regosols,11119.0,17200,,1.0,100.0,1.0,,,,,GRh,79.0,2.0,4.0,100.0,1.0,,,,,,0.0,10.0,25.0,54.0,21.0,7.0,1.37,1.6,6.6,71.0,21.0,99.0,14.0,1.6,0.0,2.0,0.1,10.0,23.0,49.0,28.0,5.0,1.33,0.4,7.0,64.0,20.0,100.0,15.3,3.5,0.0,2.0,0.1,1.31,1.49
43,9510.0,IP-Rei-0,CS77208,POR,38.75,-7.59,Carlos Alonso-Blanco,Monsanto,9743,Regosols,11130.0,18208,,1.0,100.0,1.0,,,,,CHl,54.0,2.0,4.0,100.0,1.0,,,,,,0.0,4.0,34.0,41.0,25.0,9.0,1.36,1.64,7.1,69.0,21.0,100.0,25.3,5.0,0.0,2.0,0.1,16.0,34.0,37.0,29.0,5.0,1.34,0.78,7.6,63.0,20.0,100.0,39.2,9.0,0.0,2.0,0.1,1.21,1.36
44,9574.0,IP-Rel-0,CS77209,ESP,38.6,-2.7,Carlos Alonso-Blanco,Monsanto,9742,Regosols,11129.0,18201,,1.0,100.0,1.0,,,,,CHl,54.0,2.0,4.0,100.0,1.0,,,,,,0.0,4.0,34.0,41.0,25.0,9.0,1.36,1.64,7.1,69.0,21.0,100.0,25.3,5.0,0.0,2.0,0.1,16.0,34.0,37.0,29.0,5.0,1.34,0.78,7.6,63.0,20.0,100.0,39.2,9.0,0.0,2.0,0.1,1.21,1.36
45,9890.0,IP-Rib-1,CS77217,ESP,43.16,-5.07,Carlos Alonso-Blanco,Monsanto,9676,Leptosols,11063.0,14316,,1.0,100.0,1.0,,,,,LVk,109.0,2.0,4.0,100.0,1.0,,,,,,0.0,5.0,53.0,24.0,23.0,10.0,1.41,0.51,7.7,55.0,14.0,100.0,17.1,7.4,0.0,1.0,0.1,10.0,47.0,23.0,30.0,10.0,1.36,0.3,7.9,50.0,17.0,100.0,23.1,9.1,0.0,2.0,0.2,1.53,1.67
46,9583.0,IP-Sne-0,CS77258,ESP,37.09,-3.38,Carlos Alonso-Blanco,Monsanto,9731,Cambisols,11118.0,17122,,1.0,100.0,1.0,,,,,ARb,40.0,2.0,4.0,100.0,1.0,,,,,,0.0,10.0,66.0,10.0,24.0,10.0,1.43,0.43,6.7,47.0,6.0,99.0,14.0,0.0,0.0,2.0,0.1,10.0,86.0,7.0,7.0,12.0,1.65,0.24,6.2,47.0,4.0,100.0,15.3,0.0,0.0,0.0,0.1,1.4,1.48
47,9585.0,IP-Svi-0,CS77287,ESP,43.4,-7.39,Carlos Alonso-Blanco,Monsanto,9680,Leptosols,11067.0,14405,,1.0,100.0,1.0,,,,,LVg,113.0,2.0,2.0,100.0,,,,,,,0.0,5.0,47.0,29.0,24.0,9.0,1.39,0.83,6.3,46.0,16.0,93.0,14.9,0.0,0.0,2.0,0.1,6.0,39.0,27.0,34.0,5.0,1.33,0.28,7.0,44.0,16.0,99.0,15.9,0.4,0.0,2.0,0.1,1.54,1.65
48,9899.0,IP-Tau-0,CS77342,ESP,42.54,0.84,Xavier Picó,Monsanto,9677,Leptosols,11064.0,14317,,1.0,100.0,1.0,,,,,LVk,109.0,2.0,4.0,100.0,1.0,,,,,,0.0,5.0,53.0,24.0,23.0,10.0,1.41,0.51,7.7,55.0,14.0,100.0,17.1,7.4,0.0,1.0,0.1,10.0,47.0,23.0,30.0,10.0,1.36,0.3,7.9,50.0,17.0,100.0,23.1,9.1,0.0,2.0,0.2,1.53,1.67
49,9593.0,IP-Vaz-0,CS78836,ESP,42.26,-2.99,Carlos Alonso-Blanco,Monsanto,9697,Cambisols,11084.0,14505,,1.0,100.0,1.0,,,,,ATc,48.0,2.0,4.0,100.0,1.0,,,,,,0.0,10.0,29.0,50.0,21.0,7.0,1.38,1.12,7.8,34.0,11.0,100.0,24.1,9.3,0.0,1.0,0.3,10.0,34.0,45.0,21.0,9.0,1.39,0.82,7.9,41.0,13.0,100.0,32.9,9.4,0.0,1.0,0.3,1.41,1.5
50,9598.0,IP-Vim-0,CS78844,ESP,41.88,-6.51,Carlos Alonso-Blanco,Monsanto,9698,Cambisols,11085.0,14506,,1.0,100.0,1.0,,,,,ATc,48.0,2.0,4.0,100.0,1.0,,,,,,0.0,10.0,29.0,50.0,21.0,7.0,1.38,1.12,7.8,34.0,11.0,100.0,24.1,9.3,0.0,1.0,0.3,10.0,34.0,45.0,21.0,9.0,1.39,0.82,7.9,41.0,13.0,100.0,32.9,9.4,0.0,1.0,0.3,1.41,1.5
51,9600.0,IP-Vis-0,CS78848,ESP,39.85,-6.04,Carlos Alonso-Blanco,Monsanto,9744,Regosols,11131.0,18217,,1.0,100.0,1.0,,,,,CHl,54.0,2.0,4.0,100.0,1.0,20.0,,,,,0.0,4.0,34.0,41.0,25.0,9.0,1.36,1.64,7.1,69.0,21.0,100.0,25.3,5.0,0.0,2.0,0.1,16.0,34.0,37.0,29.0,5.0,1.34,0.78,7.6,63.0,20.0,100.0,39.2,9.0,0.0,2.0,0.1,1.21,1.36
59,9416.0,Kru-3,CS76986,SWE,57.7215,18.3837,Alison Anastasio,GMI,10061,Cambisols,11460.0,42100,,1.0,100.0,1.0,,,,,FLc,3.0,2.0,2.0,100.0,1.0,,,,,,0.0,15.0,34.0,48.0,18.0,9.0,1.41,0.6,8.0,68.0,14.0,100.0,19.8,11.7,0.2,3.0,0.7,10.0,36.0,46.0,18.0,9.0,1.41,0.4,8.1,84.0,13.0,100.0,20.7,12.2,0.2,3.0,0.5,1.39,1.41
61,6932.0,Ler-1,CS77021,GER,47.984,10.8719,Eric Holub,MPI+GMI,10725,Cambisols,12073.0,AO162,,1.0,70.0,1.0,,,,,RGd,159.0,2.0,4.0,100.0,1.0,,,,,,0.0,20.0,58.0,25.0,17.0,11.0,1.46,0.95,5.1,40.0,10.0,15.0,1.5,0.0,0.0,2.0,0.0,45.0,63.0,22.0,15.0,11.0,1.49,0.37,5.2,32.0,6.0,24.0,1.5,0.0,0.0,2.0,0.0,1.29,1.38
63,7255.0,Mh-0,CS76550,POL,50.95,20.5,Albert Kranz,Salk,10154,Cambisols,11553.0,44300,,1.0,100.0,1.0,,,,,HSf,89.0,1.0,1.0,100.0,1.0,16.0,,,,,0.0,1.0,20.0,40.0,40.0,3.0,1.26,33.63,4.3,45.0,77.0,62.0,31.4,0.0,0.0,2.0,0.1,2.0,47.0,26.0,27.0,10.0,1.38,32.89,4.6,71.0,78.0,40.0,27.4,0.0,0.0,1.0,0.1,0.1,0.1
64,8337.0,Mir-0,CS76551,ITA,44.0,12.37,Albert Kranz,Salk,9824,Cambisols,11211.0,20118,,1.0,100.0,1.0,,,,,CMc,65.0,2.0,4.0,100.0,5.0,18.0,,,,,0.0,6.0,36.0,43.0,21.0,9.0,1.39,0.65,8.0,52.0,16.0,100.0,24.3,7.0,0.0,1.0,0.4,10.0,34.0,43.0,23.0,9.0,1.38,0.43,8.1,54.0,16.0,100.0,28.7,8.7,0.4,1.0,0.3,1.41,1.45
66,8246.0,NC-6,CS77124,USA,35.0,-79.18,Joy Bergelson,Salk,4596,Acrisols,9190.0,72185,70079.0,1.0,90.0,1.0,,,Rx,189.0,RGi,161.0,2.0,3.0,100.0,6.0,2.0,25.0,4.0,4.0,1.0,2.0,22.0,26.0,63.0,11.0,7.0,1.47,1.15,6.6,37.0,12.0,79.0,12.2,0.0,0.0,2.0,0.1,28.0,26.0,63.0,11.0,7.0,1.47,0.4,6.9,37.0,9.0,100.0,9.3,0.0,0.0,2.0,0.1,1.33,1.48
70,8351.0,Ost-0,CS77154,SWE,60.25,18.37,Albert Kranz,GMI,10065,Cambisols,11464.0,42105,,1.0,100.0,1.0,,,,,FLc,3.0,1.0,2.0,100.0,1.0,7.0,,,,,0.0,10.0,79.0,15.0,6.0,12.0,1.66,0.41,8.3,109.0,6.0,100.0,11.0,9.1,0.0,4.0,0.4,10.0,79.0,15.0,6.0,12.0,1.66,0.17,8.3,137.0,6.0,94.0,13.9,9.9,0.0,4.0,0.4,1.4,1.5
72,7287.0,Ove-0,CS76569,GER,53.3422,8.42255,Albert Kranz,Salk,10185,Fluvisols,11584.0,47103,,1.0,100.0,1.0,,,,,SCh,163.0,1.0,5.0,100.0,3.0,16.0,,,,,0.0,20.0,83.0,10.0,7.0,12.0,1.64,0.45,8.0,95.0,6.0,100.0,7.4,3.9,4.5,7.0,5.5,28.0,78.0,12.0,10.0,11.0,1.58,0.3,8.3,65.0,7.0,89.0,10.4,5.8,0.1,13.0,18.4,1.52,1.52
77,7514.0,RRS-7,CS76593,USA,41.5609,-86.4251,Joy Bergelson,Salk,4718,Phaeozems,9243.0,72238,70086.0,1.0,100.0,1.0,,,Tv,197.0,ANi,37.0,2.0,4.0,100.0,4.0,25.0,1.0,1.0,1.0,1.0,2.0,4.0,41.0,40.0,19.0,9.0,1.42,6.44,5.6,78.0,32.0,25.0,5.8,0.0,0.0,1.0,0.1,9.0,44.0,37.0,19.0,9.0,1.42,2.44,5.9,92.0,24.0,34.0,4.3,0.0,0.0,1.0,0.1,0.76,0.79
78,6961.0,Se-0,CS76597,ESP,38.3333,-3.53333,Albert Kranz,Salk,9696,Regosols,11083.0,14504,,1.0,100.0,1.0,,,,,ATc,48.0,2.0,4.0,100.0,1.0,,,,,,0.0,10.0,29.0,50.0,21.0,7.0,1.38,1.12,7.8,34.0,11.0,100.0,24.1,9.3,0.0,1.0,0.3,10.0,34.0,45.0,21.0,9.0,1.39,0.82,7.9,41.0,13.0,100.0,32.9,9.4,0.0,1.0,0.3,1.41,1.5
81,6108.0,T480,CS77300,SWE,55.7989,13.1206,Mattias Jakobsson,GMI,10027,Cambisols,11426.0,38501,,1.0,100.0,1.0,,,,,PHg,136.0,1.0,2.0,100.0,3.0,16.0,,,,,0.0,4.0,77.0,13.0,10.0,11.0,1.58,0.98,6.5,56.0,11.0,87.0,8.0,0.0,0.0,0.0,0.1,4.0,66.0,15.0,19.0,11.0,1.46,0.69,6.6,57.0,16.0,88.0,11.6,0.0,0.0,3.0,0.1,1.28,1.34
83,6968.0,Tamm-2,CS76610,FIN,60.0,23.5,Outi Savolainen,Salk,10412,Podzols,11837.0,83504,,1.0,100.0,1.0,,,,,CMo,68.0,3.0,4.0,100.0,1.0,,,,,,0.0,4.0,25.0,23.0,52.0,3.0,1.24,1.64,4.9,8.0,9.0,34.0,3.5,0.0,0.0,2.0,0.1,9.0,25.0,23.0,52.0,3.0,1.24,0.49,5.1,10.0,7.0,42.0,2.9,0.0,0.0,2.0,0.1,1.25,1.29
86,7354.0,Ting-1,CS76612,SWE,56.5,14.9,Maarten Koornneef,Salk,10041,Podzols,11440.0,39201,,1.0,100.0,1.0,,,,,FLc,3.0,2.0,2.0,100.0,4.0,9.0,,,,,0.0,15.0,34.0,48.0,18.0,9.0,1.41,0.6,8.0,68.0,14.0,100.0,19.8,11.7,0.2,3.0,0.7,10.0,36.0,46.0,18.0,9.0,1.41,0.4,8.1,84.0,13.0,100.0,20.7,12.2,0.2,3.0,0.5,1.39,1.41
88,1254.0,Tos-82-387,CS77379,SWE,59.4333,17.0167,Jon Ågren,GMI,10064,Cambisols,11463.0,42104,,1.0,100.0,1.0,,,,,FLc,3.0,2.0,2.0,100.0,1.0,,,,,,0.0,15.0,34.0,48.0,18.0,9.0,1.41,0.6,8.0,68.0,14.0,100.0,19.8,11.7,0.2,3.0,0.7,10.0,36.0,46.0,18.0,9.0,1.41,0.4,8.1,84.0,13.0,100.0,20.7,12.2,0.2,3.0,0.5,1.39,1.41
89,6243.0,Tottarp-2,CS77381,SWE,56.27373,13.90045,Magnus Nordborg,GMI,10036,Cambisols,11435.0,39102,,1.0,100.0,1.0,,,,,FLc,3.0,2.0,2.0,100.0,4.0,9.0,,,,,0.0,15.0,34.0,48.0,18.0,9.0,1.41,0.6,8.0,68.0,14.0,100.0,19.8,11.7,0.2,3.0,0.7,10.0,36.0,46.0,18.0,9.0,1.41,0.4,8.1,84.0,13.0,100.0,20.7,12.2,0.2,3.0,0.5,1.39,1.41
90,6973.0,Ull2-3,CS78817,SWE,56.0648,13.9707,Magnus Nordborg,GMI,10035,Regosols,11434.0,39101,,1.0,100.0,1.0,,,,,VRe,178.0,2.0,2.0,100.0,5.0,9.0,,,,,3.0,7.0,44.0,27.0,29.0,5.0,1.36,1.5,6.7,59.0,24.0,86.0,19.5,0.0,0.0,2.0,0.1,3.0,40.0,23.0,37.0,5.0,1.32,0.65,7.2,67.0,27.0,90.0,23.9,0.1,0.1,2.0,0.1,1.29,1.35
95,9128.0,Yeg-2,CS78864,ARM,39.8692,45.3622,James Beck,Monsanto,28048,Chernozems,30593.0,ZA494,,1.0,89.0,1.0,,,,,LVf,107.0,2.0,4.0,100.0,1.0,,,,,,0.0,4.0,79.0,5.0,16.0,11.0,1.51,0.24,6.2,24.0,5.0,89.0,4.5,0.5,0.0,2.0,0.0,1.0,53.0,17.0,30.0,10.0,1.37,0.33,6.2,25.0,9.0,80.0,7.2,0.5,0.0,2.0,0.0,1.49,1.53
